team_name,home_played,home_wins,home_goals_for,home_goals_against,away_played,away_wins,away_goals_for,away_goals_against,home_win_rate,away_win_rate
AFC Bournemouth,19,7,29,20,19,6,29,34,36.8,31.6
Arsenal FC,19,15,41,11,19,11,30,16,78.9,57.9
Aston Villa FC,19,12,32,22,19,7,24,27,63.2,36.8
Brentford FC,19,8,33,21,19,6,22,31,42.1,31.6
Brighton & Hove Albion FC,19,9,30,20,19,5,22,26,47.4,26.3
Burnley FC,19,2,18,29,19,2,20,46,10.5,10.5
Chelsea FC,19,7,26,25,19,7,32,27,36.8,36.8
Crystal Palace FC,19,4,19,23,19,7,22,28,21.1,36.8
Everton FC,19,6,26,27,19,7,21,23,31.6,36.8
Fulham FC,19,11,30,20,19,4,17,31,57.9,21.1
Leeds United FC,19,9,29,21,19,2,20,35,47.4,10.5
Liverpool FC,19,10,34,20,19,7,29,33,52.6,36.8
Manchester City FC,19,14,45,14,19,9,32,21,73.7,47.4
Manchester United FC,19,13,39,24,19,7,30,26,68.4,36.8
Newcastle United FC,19,10,36,30,19,4,17,25,52.6,21.1
Nottingham Forest FC,19,4,20,23,19,7,28,28,21.1,36.8
Sunderland AFC,19,9,25,20,19,5,17,28,47.4,26.3
Tottenham Hotspur FC,19,3,22,31,19,7,26,26,15.8,36.8
West Ham United FC,19,6,27,30,19,4,19,35,31.6,21.1
Wolverhampton Wanderers FC,19,3,19,34,19,0,8,34,15.8,0.0
