player_name,team_name,goals,assists,penalties,played_matches,goals_per_match
Erling Haaland,Manchester City FC,27,8,3,36,0.75
Thiago Rodrigues,Brentford FC,22,1,8,38,0.58
Antoine Semenyo,Manchester City FC,17,4,1,37,0.46
Ollie Watkins,Aston Villa FC,16,3,0,37,0.43
João Pedro,Chelsea FC,15,5,0,35,0.43
Morgan Gibbs-White,Nottingham Forest FC,15,5,1,37,0.41
Viktor Gyökeres,Arsenal FC,14,1,3,36,0.39
Dominic Calvert-Lewin,Leeds United FC,14,1,4,35,0.4
Danny Welbeck,Brighton & Hove Albion FC,13,1,1,37,0.35
Eli Kroupi,AFC Bournemouth,13,0,2,38,0.34
